"HITId","HITTypeId","Title","CreationTime","MaxAssignments","AssignmentDurationInSeconds","AssignmentId","WorkerId","AcceptTime","SubmitTime","WorkTimeInSeconds","Input.id","Input.payload","Answer.audio","Answer.neither","Answer.ocr","Answer.sanity-check","Answer.video","Turkle.Username"
"938082","1098","Eval Paper Grounding Judgments","Mon Sep 15 17:50:07 UTC 2025","1","86400","74589","248","Mon Sep 15 20:27:25 UTC 2025","Mon Sep 15 20:28:30 UTC 2025","65","Launch and commissioning of the James Webb Space Telescope_0","{""Wiki_Title"": ""Launch and commissioning of the James Webb Space Telescope"", ""Claim_Sentence"": ""The James Webb Space Telescope (JWST) is a space telescope designed to succeed the Hubble Space Telescope."", ""Extracted_Claims"": [""The James Webb Space Telescope (JWST) is a space telescope"", ""The JWST is designed to succeed the Hubble Space Telescope""], ""Video_Url"": ""https://cs.jhu.edu/~amart233/videos/1485697261250256897.mp4""}","[false,false]","[false,true]","[true,false]","","[true,false]","amart233"
"938083","1098","Eval Paper Grounding Judgments","Mon Sep 15 17:50:07 UTC 2025","1","86400","74590","248","Mon Sep 15 20:28:30 UTC 2025","Mon Sep 15 20:29:34 UTC 2025","64","Launch and commissioning of the James Webb Space Telescope_1","{""Wiki_Title"": ""Launch and commissioning of the James Webb Space Telescope"", ""Claim_Sentence"": ""Launched on December 25, 2021, aboard an Ariane 5 rocket from the Guiana Space Centre, the JWST is a collaborative project involving NASA, the European Space Agency (ESA), and the Canadian Space Agency (CSA)."", ""Extracted_Claims"": [""The JWST was launched on December 25, 2021"", ""The JWST was launched aboard an Ariane 5 rocket"", ""The launch of the JWST took place from the Guiana Space Centre"", ""The JWST is a collaborative project"", ""NASA is involved in the JWST project"", ""The European Space Agency (ESA) is involved in the JWST project"", ""The Canadian Space Agency (CSA) is involved in the JWST project""], ""Video_Url"": ""https://cs.jhu.edu/~amart233/videos/1485697261250256897.mp4""}","[false,false,false,false,false,false,false]","[true,true,true,false,false,true,false]","[false,false,false,true,true,false,true]","","[false,false,false,false,false,false,false]","amart233"
"938084","1098","Eval Paper Grounding Judgments","Mon Sep 15 17:50:07 UTC 2025","1","86400","74591","248","Mon Sep 15 20:29:34 UTC 2025","Mon Sep 15 20:30:23 UTC 2025","49","Launch and commissioning of the James Webb Space Telescope_2","{""Wiki_Title"": ""Launch and commissioning of the James Webb Space Telescope"", ""Claim_Sentence"": ""The telescope features a large, foldable primary mirror composed of 18 hexagonal segments, which, when combined, form a single mirror 2.5 times larger than Hubble's."", ""Extracted_Claims"": [""The telescope has a primary mirror"", ""The primary mirror is large"", ""The primary mirror is foldable"", ""The primary mirror is composed of 18 segments"", ""Each segment is hexagonal"", ""When combined, the segments form a single mirror"", ""The single mirror formed is 2.5 times larger than Hubble's mirror""], ""Video_Url"": ""https://cs.jhu.edu/~amart233/videos/1485697261250256897.mp4""}","[false,false,false,false,false,false,false]","[false,true,true,false,false,false,true]","[false,false,false,false,false,false,false]","","[true,false,false,true,true,true,false]","amart233"
"938085","1098","Eval Paper Grounding Judgments","Mon Sep 15 17:50:07 UTC 2025","1","86400","74592","248","Mon Sep 15 20:30:23 UTC 2025","Mon Sep 15 20:31:05 UTC 2025","42","Launch and commissioning of the James Webb Space Telescope_3","{""Wiki_Title"": ""Launch and commissioning of the James Webb Space Telescope"", ""Claim_Sentence"": ""Positioned at the second Lagrange point (L2), approximately 1.5 million kilometers from Earth, the JWST is optimized for infrared observations, allowing it to study the early universe, distant galaxies, and the atmospheres of exoplanets."", ""Extracted_Claims"": [""The JWST is positioned at the second Lagrange point (L2)"", ""The L2 point is approximately 1.5 million kilometers from Earth"", ""The JWST is optimized for infrared observations"", ""Infrared observations allow the JWST to study the early universe"", ""Infrared observations allow the JWST to study distant galaxies"", ""Infrared observations allow the JWST to study the atmospheres of exoplanets""], ""Video_Url"": ""https://cs.jhu.edu/~amart233/videos/1485697261250256897.mp4""}","[false,false,false,false,false,false]","[false,false,true,true,true,true]","[true,true,false,false,false,false]","","[false,false,false,false,false,false]","amart233"
"938086","1098","Eval Paper Grounding Judgments","Mon Sep 15 17:50:07 UTC 2025","1","86400","74593","248","Mon Sep 15 20:31:05 UTC 2025","Mon Sep 15 20:31:29 UTC 2025","24","Launch and commissioning of the James Webb Space Telescope_4","{""Wiki_Title"": ""Launch and commissioning of the James Webb Space Telescope"", ""Claim_Sentence"": ""The telescope's deployment, including the unfolding of its sunshield and mirror segments, was completed successfully, marking a significant milestone in space exploration and astronomical research."", ""Extracted_Claims"": [""The telescope's deployment was completed successfully"", ""The deployment included the unfolding of the sunshield"", ""The deployment included the unfolding of the mirror segments"", ""The successful deployment marked a significant milestone"", ""The milestone is related to space exploration"", ""The milestone is related to astronomical research""], ""Video_Url"": ""https://cs.jhu.edu/~amart233/videos/1485697261250256897.mp4""}","[false,false,false,false,false,false]","[false,true,true,false,false,false]","[true,false,false,true,true,true]","","[false,false,false,false,false,false]","amart233"
"938087","1098","Eval Paper Grounding Judgments","Mon Sep 15 17:50:07 UTC 2025","1","86400","74594","248","Mon Sep 15 20:31:29 UTC 2025","Mon Sep 15 20:31:47 UTC 2025","18","Launch and commissioning of the James Webb Space Telescope_5","{""Wiki_Title"": ""Launch and commissioning of the James Webb Space Telescope"", ""Claim_Sentence"": ""The James Webb Space Telescope (JWST) is a space telescope designed to succeed the Hubble Space Telescope."", ""Extracted_Claims"": [""The James Webb Space Telescope (JWST) is a space telescope"", ""The JWST is designed to succeed the Hubble Space Telescope""], ""Video_Url"": ""https://cs.jhu.edu/~amart233/videos/1456695148067295233.mp4""}","[false,false]","[true,true]","[false,false]","","[false,false]","amart233"
"938088","1098","Eval Paper Grounding Judgments","Mon Sep 15 17:50:07 UTC 2025","1","86400","74595","248","Mon Sep 15 20:31:47 UTC 2025","Mon Sep 15 20:32:04 UTC 2025","17","Launch and commissioning of the James Webb Space Telescope_6","{""Wiki_Title"": ""Launch and commissioning of the James Webb Space Telescope"", ""Claim_Sentence"": ""Launched on December 25, 2021, aboard an Ariane 5 rocket from the Guiana Space Centre, the JWST is a collaborative project involving NASA, the European Space Agency (ESA), and the Canadian Space Agency (CSA)."", ""Extracted_Claims"": [""The JWST was launched on December 25, 2021"", ""The JWST was launched aboard an Ariane 5 rocket"", ""The launch of the JWST took place from the Guiana Space Centre"", ""The JWST is a collaborative project"", ""NASA is involved in the JWST project"", ""The European Space Agency (ESA) is involved in the JWST project"", ""The Canadian Space Agency (CSA) is involved in the JWST project""], ""Video_Url"": ""https://cs.jhu.edu/~amart233/videos/1456695148067295233.mp4""}","[false,false,false,false,false,false,false]","[true,true,true,true,true,true,true]","[false,false,false,false,false,false,false]","","[false,false,false,false,false,false,false]","amart233"
"938089","1098","Eval Paper Grounding Judgments","Mon Sep 15 17:50:07 UTC 2025","1","86400","74596","248","Mon Sep 15 20:32:04 UTC 2025","Mon Sep 15 20:32:28 UTC 2025","24","Launch and commissioning of the James Webb Space Telescope_7","{""Wiki_Title"": ""Launch and commissioning of the James Webb Space Telescope"", ""Claim_Sentence"": ""The telescope features a large, foldable primary mirror composed of 18 hexagonal segments, which, when combined, form a single mirror 2.5 times larger than Hubble's."", ""Extracted_Claims"": [""The telescope has a primary mirror"", ""The primary mirror is large"", ""The primary mirror is foldable"", ""The primary mirror is composed of 18 segments"", ""Each segment is hexagonal"", ""When combined, the segments form a single mirror"", ""The single mirror formed is 2.5 times larger than Hubble's mirror""], ""Video_Url"": ""https://cs.jhu.edu/~amart233/videos/1456695148067295233.mp4""}","[false,false,false,false,false,false,false]","[true,false,false,true,false,true,true]","[false,false,false,false,false,false,false]","","[false,true,true,false,true,false,false]","amart233"
"938090","1098","Eval Paper Grounding Judgments","Mon Sep 15 17:50:07 UTC 2025","1","86400","74597","248","Mon Sep 15 20:32:28 UTC 2025","Mon Sep 15 20:32:34 UTC 2025","6","Launch and commissioning of the James Webb Space Telescope_8","{""Wiki_Title"": ""Launch and commissioning of the James Webb Space Telescope"", ""Claim_Sentence"": ""Positioned at the second Lagrange point (L2), approximately 1.5 million kilometers from Earth, the JWST is optimized for infrared observations, allowing it to study the early universe, distant galaxies, and the atmospheres of exoplanets."", ""Extracted_Claims"": [""The JWST is positioned at the second Lagrange point (L2)"", ""The L2 point is approximately 1.5 million kilometers from Earth"", ""The JWST is optimized for infrared observations"", ""Infrared observations allow the JWST to study the early universe"", ""Infrared observations allow the JWST to study distant galaxies"", ""Infrared observations allow the JWST to study the atmospheres of exoplanets""], ""Video_Url"": ""https://cs.jhu.edu/~amart233/videos/1456695148067295233.mp4""}","[false,false,false,false,false,false]","[true,true,true,true,true,true]","[false,false,false,false,false,false]","","[false,false,false,false,false,false]","amart233"
"938091","1098","Eval Paper Grounding Judgments","Mon Sep 15 17:50:07 UTC 2025","1","86400","74598","248","Mon Sep 15 20:32:35 UTC 2025","Mon Sep 15 20:32:41 UTC 2025","6","Launch and commissioning of the James Webb Space Telescope_9","{""Wiki_Title"": ""Launch and commissioning of the James Webb Space Telescope"", ""Claim_Sentence"": ""The telescope's deployment, including the unfolding of its sunshield and mirror segments, was completed successfully, marking a significant milestone in space exploration and astronomical research."", ""Extracted_Claims"": [""The telescope's deployment was completed successfully"", ""The deployment included the unfolding of the sunshield"", ""The deployment included the unfolding of the mirror segments"", ""The successful deployment marked a significant milestone"", ""The milestone is related to space exploration"", ""The milestone is related to astronomical research""], ""Video_Url"": ""https://cs.jhu.edu/~amart233/videos/1456695148067295233.mp4""}","[false,false,false,false,false,false]","[true,true,true,true,true,true]","[false,false,false,false,false,false]","","[false,false,false,false,false,false]","amart233"
