"HITId","HITTypeId","Title","CreationTime","MaxAssignments","AssignmentDurationInSeconds","AssignmentId","WorkerId","AcceptTime","SubmitTime","WorkTimeInSeconds","Input.id","Input.payload","Answer.audio","Answer.neither","Answer.ocr","Answer.sanity-check","Answer.video","Turkle.Username"
"935825","1098","Eval Paper Grounding Judgments","Wed Sep 10 19:56:07 UTC 2025","1","86400","75191","248","Wed Sep 24 19:06:20 UTC 2025","Wed Sep 24 19:09:21 UTC 2025","181","Launch and commissioning of the James Webb Space Telescope_0","{""Wiki_Title"": ""Launch and commissioning of the James Webb Space Telescope"", ""Claim_Sentence"": ""The James Webb Space Telescope (JWST) is a revolutionary scientific instrument designed to explore some of the earliest galaxies in the universe and study exoplanets."", ""Extracted_Claims"": [""The James Webb Space Telescope (JWST) is a scientific instrument"", ""The JWST is revolutionary"", ""The JWST is designed to explore some of the earliest galaxies in the universe"", ""The JWST is designed to study exoplanets""], ""Video_Url"": ""https://cs.jhu.edu/~amart233/videos/1485697261250256897.mp4""}","[false,false,false,false]","[false,true,true,true]","[false,false,false,false]","","[true,false,false,false]","amart233"
"935826","1098","Eval Paper Grounding Judgments","Wed Sep 10 19:56:07 UTC 2025","1","86400","75192","248","Wed Sep 24 19:09:21 UTC 2025","Wed Sep 24 19:10:05 UTC 2025","44","Launch and commissioning of the James Webb Space Telescope_1","{""Wiki_Title"": ""Launch and commissioning of the James Webb Space Telescope"", ""Claim_Sentence"": ""Its construction began in earnest when NASA's Goddard Space Flight Center completed the initial assembly of the telescope's components, including the massive primary mirror array, which consists of 18 gold-coated beryllium mirrors."", ""Extracted_Claims"": [""The construction of the James Webb Space Telescope began earnestly"", ""NASA's Goddard Space Flight Center completed the initial assembly of the telescope's components"", ""The telescope includes a massive primary mirror array"", ""The primary mirror array consists of 18 mirrors"", ""The mirrors are gold-coated"", ""The mirrors are made of beryllium""], ""Video_Url"": ""https://cs.jhu.edu/~amart233/videos/1485697261250256897.mp4""}","[false,false,false,false,false,false]","[true,true,false,true,false,true]","[false,false,false,false,false,false]","","[false,false,true,false,true,false]","amart233"
"935827","1098","Eval Paper Grounding Judgments","Wed Sep 10 19:56:07 UTC 2025","1","86400","75193","248","Wed Sep 24 19:10:05 UTC 2025","Wed Sep 24 19:10:14 UTC 2025","9","Launch and commissioning of the James Webb Space Telescope_2","{""Wiki_Title"": ""Launch and commissioning of the James Webb Space Telescope"", ""Claim_Sentence"": ""This phase involved precise alignment and securement of these mirrors within the telescope's complex framework."", ""Extracted_Claims"": [""This phase involved precise alignment of the mirrors"", ""This phase involved securement of the mirrors"", ""The mirrors are part of the telescope's complex framework"", ""There was a specific phase dedicated to aligning and securing the mirrors""], ""Video_Url"": ""https://cs.jhu.edu/~amart233/videos/1485697261250256897.mp4""}","[false,false,false,false]","[true,true,true,true]","[false,false,false,false]","","[false,false,false,false]","amart233"
"935828","1098","Eval Paper Grounding Judgments","Wed Sep 10 19:56:07 UTC 2025","1","86400","75194","248","Wed Sep 24 19:10:14 UTC 2025","Wed Sep 24 19:10:32 UTC 2025","18","Launch and commissioning of the James Webb Space Telescope_3","{""Wiki_Title"": ""Launch and commissioning of the James Webb Space Telescope"", ""Claim_Sentence"": ""Subsequent videos demonstrate the telescope's journey through different stages of completion, culminating in its launch into space aboard a United Launch Alliance Atlas V rocket."", ""Extracted_Claims"": [""Subsequent videos show the telescope's progress"", ""The telescope went through various stages of completion"", ""The telescope was launched into space"", ""The launch vehicle was a United Launch Alliance Atlas V rocket"", ""Videos document the telescope's journey to launch""], ""Video_Url"": ""https://cs.jhu.edu/~amart233/videos/1485697261250256897.mp4""}","[false,false,false,false,false]","[true,true,false,true,true]","[false,false,false,false,false]","","[false,false,true,false,false]","amart233"
"935829","1098","Eval Paper Grounding Judgments","Wed Sep 10 19:56:07 UTC 2025","1","86400","75195","248","Wed Sep 24 19:10:32 UTC 2025","Wed Sep 24 19:10:51 UTC 2025","19","Launch and commissioning of the James Webb Space Telescope_4","{""Wiki_Title"": ""Launch and commissioning of the James Webb Space Telescope"", ""Claim_Sentence"": ""The launch itself was a momentous occasion, witnessed live via satellite feed from South Korea, marking the beginning of the telescope's ambitious mission to unravel the mysteries of the cosmos."", ""Extracted_Claims"": [""The launch of the James Webb Space Telescope was a significant event"", ""The launch was broadcast live via satellite feed"", ""The live broadcast of the launch was received from South Korea"", ""The launch marked the start of the telescope's mission"", ""The mission aims to uncover secrets of the universe"", ""The mission is described as ambitious""], ""Video_Url"": ""https://cs.jhu.edu/~amart233/videos/1485697261250256897.mp4""}","[false,false,false,false,false,false]","[true,true,true,true,true,true]","[false,false,false,false,false,false]","","[false,false,false,false,false,false]","amart233"
"935830","1098","Eval Paper Grounding Judgments","Wed Sep 10 19:56:07 UTC 2025","1","86400","75196","248","Wed Sep 24 19:10:51 UTC 2025","Wed Sep 24 19:11:12 UTC 2025","21","Launch and commissioning of the James Webb Space Telescope_5","{""Wiki_Title"": ""Launch and commissioning of the James Webb Space Telescope"", ""Claim_Sentence"": ""The subsequent images captured by the JWST showcase its capabilities, offering unprecedented views of distant celestial bodies and providing crucial insights into the formation of galaxies and planets beyond our solar system."", ""Extracted_Claims"": [""The James Webb Space Telescope (JWST) captures images"", ""The images captured by the JWST offer unprecedented views"", ""The JWST provides views of distant celestial bodies"", ""The JWST offers insights into the formation of galaxies"", ""The JWST offers insights into the formation of planets"", ""The JWST studies celestial bodies beyond our solar system""], ""Video_Url"": ""https://cs.jhu.edu/~amart233/videos/1485697261250256897.mp4""}","[false,false,false,false,false,false]","[true,true,true,true,true,true]","[false,false,false,false,false,false]","","[false,false,false,false,false,false]","amart233"
"935831","1098","Eval Paper Grounding Judgments","Wed Sep 10 19:56:07 UTC 2025","1","86400","75197","248","Wed Sep 24 19:11:12 UTC 2025","Wed Sep 24 19:11:22 UTC 2025","10","Launch and commissioning of the James Webb Space Telescope_6","{""Wiki_Title"": ""Launch and commissioning of the James Webb Space Telescope"", ""Claim_Sentence"": ""The telescope's achievements have been hailed as a testament to cutting-edge technology and international collaboration, making it a cornerstone of modern astronomical research."", ""Extracted_Claims"": [""The telescope has achieved significant milestones"", ""The achievements of the telescope are seen as evidence of advanced technology"", ""The achievements of the telescope are seen as evidence of international cooperation"", ""The telescope is important for modern astronomical research"", ""The telescope is considered foundational for contemporary astronomy""], ""Video_Url"": ""https://cs.jhu.edu/~amart233/videos/1485697261250256897.mp4""}","[false,false,false,false,false]","[true,true,true,true,true]","[false,false,false,false,false]","","[false,false,false,false,false]","amart233"
"935832","1098","Eval Paper Grounding Judgments","Wed Sep 10 19:56:07 UTC 2025","1","86400","75201","248","Wed Sep 24 20:17:59 UTC 2025","Wed Sep 24 20:18:12 UTC 2025","13","Launch and commissioning of the James Webb Space Telescope_7","{""Wiki_Title"": ""Launch and commissioning of the James Webb Space Telescope"", ""Claim_Sentence"": ""The James Webb Space Telescope (JWST) is a revolutionary scientific instrument designed to explore some of the earliest galaxies in the universe and study exoplanets."", ""Extracted_Claims"": [""The James Webb Space Telescope (JWST) is a scientific instrument"", ""The JWST is revolutionary"", ""The JWST is designed to explore some of the earliest galaxies in the universe"", ""The JWST is designed to study exoplanets""], ""Video_Url"": ""https://cs.jhu.edu/~amart233/videos/1456695148067295233.mp4""}","[false,false,false,false]","[false,true,true,true]","[false,false,false,false]","","[true,false,false,false]","amart233"
"935833","1098","Eval Paper Grounding Judgments","Wed Sep 10 19:56:07 UTC 2025","1","86400","75202","248","Wed Sep 24 20:18:12 UTC 2025","Wed Sep 24 20:18:27 UTC 2025","15","Launch and commissioning of the James Webb Space Telescope_8","{""Wiki_Title"": ""Launch and commissioning of the James Webb Space Telescope"", ""Claim_Sentence"": ""Its construction began in earnest when NASA's Goddard Space Flight Center completed the initial assembly of the telescope's components, including the massive primary mirror array, which consists of 18 gold-coated beryllium mirrors."", ""Extracted_Claims"": [""The construction of the James Webb Space Telescope began earnestly"", ""NASA's Goddard Space Flight Center completed the initial assembly of the telescope's components"", ""The telescope includes a massive primary mirror array"", ""The primary mirror array consists of 18 mirrors"", ""The mirrors are gold-coated"", ""The mirrors are made of beryllium""], ""Video_Url"": ""https://cs.jhu.edu/~amart233/videos/1456695148067295233.mp4""}","[false,false,false,false,false,false]","[true,true,true,true,false,true]","[false,false,false,false,false,false]","","[false,false,false,false,true,false]","amart233"
"935834","1098","Eval Paper Grounding Judgments","Wed Sep 10 19:56:07 UTC 2025","1","86400","75203","248","Wed Sep 24 20:18:27 UTC 2025","Wed Sep 24 20:18:48 UTC 2025","21","Launch and commissioning of the James Webb Space Telescope_9","{""Wiki_Title"": ""Launch and commissioning of the James Webb Space Telescope"", ""Claim_Sentence"": ""This phase involved precise alignment and securement of these mirrors within the telescope's complex framework."", ""Extracted_Claims"": [""This phase involved precise alignment of the mirrors"", ""This phase involved securement of the mirrors"", ""The mirrors are part of the telescope's complex framework"", ""There was a specific phase dedicated to aligning and securing the mirrors""], ""Video_Url"": ""https://cs.jhu.edu/~amart233/videos/1456695148067295233.mp4""}","[false,false,false,false]","[true,true,true,true]","[false,false,false,false]","","[false,false,false,false]","amart233"
